"chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate",class
"[0.43557099, 1566.9479495948801, 1625.6862808242188, 3394.415838068182, 0.014682674, 0.09879927201704546]",on
"[0.40766823, 1192.3998713127146, 1589.1797976924317, 2481.456964666193, 0.0038351067, 0.043013139204545456]",on
"[0.5054382, 1654.7641522650626, 1507.034032682675, 3109.5902876420455, 0.020499405, 0.095458984375]",on
"[0.51664, 1845.7166470729587, 1638.76797508027, 3789.3543590198865, 0.02707573, 0.13031560724431818]",on
"[0.5516559, 1180.5459371927116, 1547.8017459009686, 2633.657559481534, 0.03041508, 0.03470126065340909]",on
"[0.39507973, 1246.9343191664536, 1221.2945162737067, 2207.8874067826705, 0.020595359, 0.09287331321022728]",on
"[0.44207704, 1459.0126099150164, 1601.7345614771498, 3169.295987215909, 0.019399555, 0.049249822443181816]",on
"[0.46000835, 1640.8738832615302, 1752.4643622975743, 3729.403963955966, 0.015641196, 0.054509943181818184]",on
"[0.54251015, 2216.4246402005215, 1862.4636289229272, 4366.101629083807, 0.017531738, 0.17534845525568182]",on
"[0.43636563, 1625.4051878642263, 1432.4961866079373, 3056.9807572798295, 0.042097982, 0.10073020241477272]",on
"[0.40783376, 965.6793768587606, 1414.6428207532244, 1643.130215731534, 0.06528552, 0.03646573153409091]",on
"[0.41260847, 1814.0580282949566, 1688.3350475939626, 3722.552490234375, 0.02478701, 0.11799760298295454]",on
"[0.5192488, 708.9462391508882, 1271.9162508317497, 1193.869295987216, 0.060493805, 0.017433860085227272]",on
"[0.45519727, 1718.2033136672114, 1521.975467819126, 3334.954833984375, 0.027744142, 0.11436878551136363]",on
"[0.47610918, 1627.2156534219705, 1568.3020959245607, 3655.016534978693, 0.056125764, 0.10141823508522728]",on
"[0.5205062, 1759.3742446507233, 1734.8083462231589, 3721.329012784091, 0.016683178, 0.10387073863636363]",on
"[0.5528303, 1602.8659760539683, 1654.6675682949774, 3531.108856201172, 0.04361396, 0.0662994384765625]",on
"[0.44045368, 2109.690155388519, 1768.197667972074, 4372.708407315341, 0.03831843, 0.1526766690340909]",on
"[0.31319827, 1536.1508264415993, 1438.8782560811353, 3049.884588068182, 0.09525477, 0.07422984730113637]",on
"[0.40368274, 2550.9074292284245, 1594.8716964012397, 4232.987282492898, 0.032184396, 0.19837535511363635]",on
"[0.4306224, 1360.4843903987542, 1262.8019603454127, 2546.545965021307, 0.061214864, 0.07338645241477272]",on
"[0.4015249, 1634.790745514677, 1650.4420218549487, 3404.4483531605115, 0.019150743, 0.09595836292613637]",on
"[0.36941516, 1342.2198590516134, 1638.2969054272814, 2922.475824123476, 0.003003207, 0.054115853658536585]",on
"[0.6469914, 508.55106089865063, 1208.952407169885, 551.788330078125, 0.21536134, 0.0035511363636363635]",on
"[0.41034907, 1563.6456668710455, 1529.577337114675, 2972.3161177201705, 0.04449868, 0.08952192826704546]",on
"[0.40322614, 1445.9483562695839, 1425.5057987572327, 2864.160711115057, 0.06138688, 0.08284135298295454]",on
"[0.5043299, 1280.9596871980862, 1716.0180575048446, 2759.663800495427, 0.009043301, 0.014660346798780487]",on
"[0.39047596, 1049.3397247207186, 1126.8519037691078, 1927.9557661576705, 0.12290926, 0.05417702414772727]",on
"[0.3840865, 2547.518398900264, 1660.0884771785534, 4565.528453480114, 0.025061404, 0.19364790482954544]",on
"[0.52179754, 1439.6555157154792, 1614.2462979813406, 3156.082430752841, 0.018066058, 0.0394287109375]",on
"[0.4046687, 1774.7806736367502, 1748.4835498505797, 3455.5897105823865, 0.039926555, 0.12477805397727272]",on
"[0.4237696, 1452.7605648587876, 1035.5960490884718, 2276.0595703125, 0.04761556, 0.09659423828125]",on
"[0.43763563, 2142.646637599626, 1642.4300016359632, 4033.560458096591, 0.05814245, 0.15263227982954544]",on
"[0.44309664, 1076.5971193629882, 1264.444861938034, 1735.1357199928977, 0.14167434, 0.05642977627840909]",on
"[0.6123176, 1534.6977414834903, 1788.6022380677657, 3514.5613236860795, 0.017389264, 0.042069868607954544]",on
"[0.47418407, 1592.7336633065984, 1664.2146047076299, 3277.206698330966, 0.0156240575, 0.04769620028409091]",on
"[0.27572536, 749.3245446608689, 1139.5378181190206, 978.0478737571023, 0.010843154, 0.034257368607954544]",on
"[0.5182319, 1284.3794255905236, 1506.4540817772286, 2709.7578568892045, 0.013673121, 0.04269131747159091]",on
"[0.28091842, 1369.4672170169608, 1327.1502333420308, 2407.803622159091, 0.025578873, 0.08931107954545454]",on
"[0.3796825, 1238.529198391809, 1510.2815121744095, 2641.977206143466, 0.08787609, 0.061201615767045456]",on
"[0.44420052, 1112.203595442177, 1558.7530713563378, 2507.149991122159, 0.027455844, 0.029296875]",on
"[0.4979747, 2043.6103994947237, 1567.9587061612294, 3858.5843599759614, 0.017239999, 0.10757211538461539]",on
"[0.49998787, 1007.3449362413404, 1405.8477485914927, 2206.6639293323865, 0.030165972, 0.020740855823863636]",on
"[0.5312411, 2279.28488263757, 1725.7949848373696, 4141.226473721591, 0.005566949, 0.2121249112215909]",on
"[0.5652888, 1487.2994725153785, 1733.6725772794964, 3355.9986461292615, 0.06510945, 0.06399813565340909]",on
"[0.33543974, 1168.1528396195636, 1184.8587207098642, 2012.8651012073863, 0.061365187, 0.07374156605113637]",on
"[0.38215756, 1541.2345388754259, 1538.6466649605281, 3371.9038529829545, 0.0050882506, 0.06102405894886364]",on
"[0.39685935, 1671.7493470207019, 1803.038137435672, 3698.082941228693, 0.024377102, 0.07012384588068182]",on
"[0.32571185, 1438.1445755682664, 1300.3137245892349, 2672.3194469105115, 0.07666701, 0.11760919744318182]",on
"[0.3540736, 1583.5315086255787, 1365.671292501346, 2854.372891512784, 0.039266463, 0.09442693536931818]",on
"[0.37568858, 1843.2469626952127, 1623.384711153294, 3545.9245352909484, 0.11512417, 0.09401939655172414]",on
"[0.5863138, 972.8747319008947, 1259.7465294203694, 2085.0502707741475, 0.0756532, 0.05418812144886364]",on
"[0.36944512, 1139.4245518978387, 1221.0028394695337, 1969.064608487216, 0.007759947, 0.060979669744318184]",on
"[0.4841904, 1724.875166583264, 1640.2624532741236, 3632.8089272103657, 0.017224953, 0.10623094512195122]",on
"[0.4779233, 1337.6446383390437, 1162.392543225928, 2075.9965376420455, 0.03230479, 0.09170809659090909]",on
"[0.47278193, 1307.9173138680956, 1504.3269003074531, 2816.689786044034, 0.025080172, 0.07618297230113637]",on
"[0.38336077, 1635.4776723815094, 1405.0170549290215, 2825.009432705966, 0.03908341, 0.13027121803977273]",on
"[0.53489035, 2112.6558188655717, 1698.2954661639028, 4100.117631392045, 0.0034745163, 0.2622292258522727]",on
"[0.5206973, 1741.2997851316761, 1507.884172604747, 3389.2772327769885, 0.0161345, 0.11214932528409091]",on
"[0.41876128, 1812.3391241419142, 1578.7104355646502, 3551.510342684659, 0.04365624, 0.10869806463068182]",on
"[0.35836855, 1670.0351052367384, 1625.2855105749497, 3629.0788130326705, 0.037873235, 0.09601384943181818]",on
"[0.41511202, 1942.2385965731175, 1744.595719322049, 3850.283536044034, 0.03726597, 0.11813077059659091]",on
"[0.37994108, 1376.225666324106, 1318.5345531293024, 2539.694491299716, 0.075348474, 0.08055530894886363]",on
"[0.3620803, 996.3861250251466, 1207.7050071022159, 1923.306551846591, 0.03509408, 0.054265802556818184]",on
"[0.415869, 1791.863595605534, 1725.9012792140702, 3606.566827947443, 0.032152757, 0.09117542613636363]",on
"[0.37781236, 2791.3999221659683, 2058.1515520945813, 5425.63310102983, 0.00030806207, 0.21222478693181818]",on
"[0.4419792, 1659.4824272016167, 1531.7777803534357, 3113.5054154829545, 0.011983198, 0.08770197088068182]",on
"[0.45033154, 355.41531459831845, 793.0426944324394, 466.38960404829544, 0.017625593, 0.01241787997159091]",on
"[0.41401696, 2360.6955696877553, 1634.7971714497692, 4381.028053977273, 0.0626776, 0.1668368252840909]",on
"[0.37568405, 1123.7558887661983, 1220.5077124721456, 2062.7829811789775, 0.04464163, 0.07799183238636363]",on
"[0.46051154, 980.8144011322667, 1410.5961820491048, 2107.0728648792615, 0.026568955, 0.03321422230113636]",on
"[0.4237779, 759.8145394563962, 1101.1143047948663, 1198.0291193181818, 0.042899534, 0.033203125]",on
"[0.4096262, 1499.3439170333668, 1376.9432171753351, 2861.224365234375, 0.020073257, 0.0908203125]",on
"[0.34579393, 1648.8943805787821, 1556.0070905418586, 3093.4403852982955, 0.07915025, 0.11738725142045454]",on
"[0.40796286, 1713.1141643084468, 1504.2143912001193, 3146.294611150568, 0.026991969, 0.10688920454545454]",on
"[0.25733048, 1505.4958603644454, 1480.4562089211329, 3055.267888849432, 0.025710197, 0.07471812855113637]",on
"[0.49938244, 1885.044331048586, 1497.5794302122604, 3360.1584694602275, 0.015175998, 0.1298828125]",on
"[0.51059705, 2147.5698676512748, 1581.613752297438, 3798.077033547794, 0.107922405, 0.16473747702205882]",on
"[0.41207102, 1053.3442504039751, 1037.2487671093234, 1787.255859375, 0.050726116, 0.06312144886363637]",on
"[0.3305819, 1497.072367649363, 1524.0505885879372, 3012.4461780894885, 0.058797035, 0.09170809659090909]",on
"[0.6035697, 1812.5801225557555, 1955.70443638257, 4272.383256392045, 0.0039065, 0.03856312144886364]",on
"[0.5205644, 2296.4495403384394, 1786.5444942999636, 4392.03935102983, 0.0018612765, 0.25871138139204547]",on
"[0.52903587, 1691.9791201611342, 1830.161903743593, 3685.3587757457385, 0.031454917, 0.08134321732954546]",on
"[0.5917117, 1362.5905524998593, 1555.5726107366027, 2896.7052112926135, 0.03195808, 0.03858531605113636]",on
"[0.50441843, 2172.844192683986, 1478.065185649928, 3621.493252840909, 0.018474095, 0.15294300426136365]",on
"[0.32927516, 1323.583885390791, 1525.9809836951747, 2668.649014559659, 0.034310576, 0.06273304332386363]",on
"[0.46884155, 2728.77336803083, 2144.3481410695, 5148.393110795455, 0.010902195, 0.2166748046875]",on
"[0.45059156, 1464.9820960860652, 1269.8267899298853, 2703.3957741477275, 0.056564335, 0.09391645951704546]",on
"[0.30915093, 1090.7036941953202, 1024.6338212696626, 1961.9684392755682, 0.055007026, 0.08792391690340909]",on
"[0.460693, 2708.5545017861264, 1509.2799084447613, 4244.977361505682, 0.014884189, 0.21489923650568182]",on
"[0.59834266, 1229.8812290385192, 1718.1158171642173, 2946.3783957741475, 0.02505326, 0.028364701704545456]",on
"[0.40624395, 2735.2690244867813, 1858.3688742104025, 4952.392023259943, 0.063628584, 0.21620871803977273]",on
"[0.37444144, 1308.1425588320633, 1492.3546385589163, 2719.0562855113635, 0.12129843, 0.07135564630681818]",on
"[0.57035667, 1251.5421102637488, 1785.1206841545672, 3031.2877308238635, 0.033705957, 0.027621182528409092]",on
"[0.38146546, 2385.8248931535522, 1718.7864799490565, 4309.332275390625, 0.020248188, 0.1678133877840909]",on
"[0.47250012, 2096.4471520698125, 1763.6372057538501, 3885.7643821022725, 0.013508453, 0.1326904296875]",on
"[0.32942444, 1235.5978242810752, 1418.713044550841, 2543.364923650568, 0.014153644, 0.05240145596590909]",on
"[0.51039785, 1682.6452245195753, 1795.3570802261909, 3377.2871537642045, 0.01901314, 0.07931241122159091]",on
"[0.42463335, 1457.7679819097677, 1434.4397938578059, 2814.1204833984375, 0.07953268, 0.045511881510416664]",on
"[0.47688994, 2258.603691281303, 1678.1653314911623, 3989.270574396307, 0.08800005, 0.1256103515625]",on
"[0.22357248, 906.0573094637144, 887.4686467361615, 1383.7529962713068, 0.06411043, 0.05435458096590909]",on
"[0.40584454, 792.8112803964018, 1037.2414500082464, 1466.4600719105113, 0.111921236, 0.03565562855113636]",on
"[0.5615062, 1420.726292505899, 1673.3627848365638, 3259.6542730564024, 0.008566493, 0.06832364710365854]",on
"[0.42258742, 1313.0542195374853, 1482.366321230099, 2528.683194247159, 0.052349865, 0.06918057528409091]",on
"[0.38237932, 2032.7667470793326, 1661.7528874730613, 3881.604558771307, 0.048451386, 0.15021306818181818]",on
"[0.44069958, 1460.1905488089076, 1710.1629867912425, 3225.820645419034, 0.021093545, 0.06105735085227273]",on
"[0.51053065, 1868.3898950437629, 1518.0950156529652, 3492.7834250710225, 0.030907767, 0.11698774857954546]",on
"[0.49482784, 1125.162611199082, 1778.1541850871808, 2449.40185546875, 0.016556391, 0.017134232954545456]",on
"[0.5377218, 1400.8723429909971, 1611.5918299131088, 3154.6142578125, 0.033961598, 0.048273259943181816]",on
"[0.49037054, 1426.9009144488975, 1399.524955041248, 2834.7972523082385, 0.00402582, 0.10634543678977272]",on
"[0.5329503, 1122.857581627547, 1528.7714571520758, 2456.253329190341, 0.0037830027, 0.039384321732954544]",on
"[0.34142545, 1081.4627810947031, 1321.1874767925362, 2158.948308771307, 0.08905729, 0.051313920454545456]",on
"[0.44551596, 1417.1201286606724, 1727.592615019417, 3395.1499245383525, 0.011828833, 0.027188387784090908]",on
"[0.41828513, 1291.1089123698378, 1480.9620127525534, 2656.414240056818, 0.08290551, 0.05359996448863636]",on
"[0.37518188, 834.720187141829, 1149.2290945724706, 1572.6184475806451, 0.065085, 0.0390625]",on
"[0.43091533, 1441.602660857048, 1510.8103619091892, 2732.269841974432, 0.028704006, 0.08316317471590909]",on
"[0.4667086, 1809.2290267297476, 1533.1287234810136, 3146.0499156605115, 0.01366354, 0.09956498579545454]",on
"[0.50931054, 1947.623735969029, 2031.9792288450394, 4485.268332741477, 0.0008683744, 0.05820534446022727]",on
"[0.38925275, 1335.2965325294279, 1326.8012566817504, 2446.710205078125, 0.018527087, 0.09818892045454546]",on
"[0.29915893, 1900.4776972488457, 1547.9549057723075, 3539.275568181818, 0.03588079, 0.12714177911931818]",on
"[0.41995788, 1341.307824644926, 1522.3197682316393, 2950.293523615057, 0.08958539, 0.06136807528409091]",on
"[0.6339458, 1888.8987947645603, 1965.5021832651512, 4192.123135653409, 0.021409031, 0.08511629971590909]",on
"[0.38414937, 1989.0688395770899, 1640.332469470994, 3502.3265491832385, 0.028456561, 0.16167658025568182]",on
"[0.4230657, 1893.642500211548, 1883.2703178678732, 3889.9242054332385, 0.0004755505, 0.09823330965909091]",on
"[0.30567572, 927.6259654340157, 1216.8312736811952, 1713.357821377841, 0.21881364, 0.0338134765625]",on
"[0.45389357, 2561.143305807297, 1554.9944416177188, 4301.930236816406, 0.02249666, 0.1016845703125]",on
"[0.5526061, 1808.9074224383533, 1776.9998750212912, 3937.9501714939024, 0.016442446, 0.09720369664634146]",on
"[0.36461782, 1762.5704565495698, 1515.2397909163722, 3308.283025568182, 0.041525427, 0.15672718394886365]",on
"[0.40414688, 1111.311364157148, 1229.5927705865947, 1947.7761008522727, 0.033551354, 0.07207697088068182]",on
"[0.42275912, 1680.554744982657, 1102.9428849265587, 2503.0968299278848, 0.03932914, 0.1236102764423077]",on
"[0.3775745, 1517.0203587735593, 1400.5567658554553, 2918.2384144176135, 0.14971343, 0.09521484375]",on
"[0.5065181, 2007.8696619513323, 1788.1581168798846, 3914.6384499289775, 0.008641469, 0.06640625]",on
"[0.4286093, 1190.2373349532738, 1536.5627852933794, 2549.0585699314024, 0.06875657, 0.05120998475609756]",on
"[0.46028036, 1999.7339804643611, 1677.9446147140325, 4051.4232288707385, 0.021630831, 0.16240900213068182]",on
"[0.35744968, 1035.5686623723896, 1175.9185676851012, 1811.9701038707387, 0.039710402, 0.050537109375]",on
"[0.42949623, 1201.4139382024564, 1449.6072114862131, 2415.878573330966, 0.05835458, 0.055120294744318184]",on
"[0.4079311, 1692.5389204480082, 1667.157908437569, 3631.036376953125, 0.032973226, 0.07974520596590909]",on
"[0.39267516, 825.7751258706544, 822.8384773807069, 1410.1801091974432, 0.038839225, 0.047052556818181816]",on
"[0.4919526, 1429.603521773383, 1395.5715858577198, 2849.9683726917615, 0.17326401, 0.07952325994318182]",on
"[0.5837754, 1948.0094462901698, 1872.342673287272, 3993.9197887073865, 0.0067568887, 0.10364879261363637]",on
"[0.3582992, 1158.6800265616193, 1279.665313576803, 1979.0971235795455, 0.10319562, 0.0579833984375]",on
"[0.4716132, 2042.4583350585772, 1864.6596537892344, 4224.912331321023, 0.07589971, 0.1318359375]",on
"[0.6289171, 777.8731821307749, 1385.013938879684, 1205.1252885298295, 0.05944172, 0.015081232244318182]",on
"[0.4055683, 1249.699166800487, 1700.6910554340184, 3004.986102764423, 0.0022093442, 0.08631310096153846]",on
"[0.25245503, 1725.6127460146372, 1800.650002551054, 3702.242764559659, 0.09368059, 0.07703746448863637]",on
